legacy_id	authors	title	journal	pages	date	doi	url	display	htmlid
1	"Mulligan MK, Rhodes JS, Crabbe JC, Mayfield RD, Harris RA, Ponomarev I"	"Molecular profiles of drinking alcohol to intoxication in C57BL/6J mice"	"Alcohol Clin Exp Res"	"659-670"	"2011-01-11"	"10.1111/j.1530-0277.2010.01384.x"	"http://www.ncbi.nlm.nih.gov/pubmed/21223303"	"Mulligan et al, 2011"	"mul2011"
2	"Mulligan MK, Ponomarev I, Hitzemann RJ, Belknap JK, Tabakoff B, Harris RA, Crabbe JC, Blednov YA, Grahame NJ, Phillips TJ, Finn DA, Hoffman PL, Iyer VR, Koob GF, Bergeson SE"	"Toward understanding the genetics of alcohol drinking through transcriptome meta-analysis"	"PNAS"	"6368-6373"	"2006-04-17"	"10.1073/pnas.0510188103"	"http://www.ncbi.nlm.nih.gov/pubmed/16618939"	"Mulligan et al, 2006"	"mul2006"
3	"Kimpel MW, Strother WN, McClintick JN, Carr LG, Liang T, Edenberg HJ, McBride WJ"	"Functional gene expression differences between inbred alcohol-preferring and -non-preferring rats in five brain regions"	"Alcohol"	"95-132"	"2007-03-08"	"10.1016/j.alcohol.2007.03.003"	"http://www.ncbi.nlm.nih.gov/pubmed/17517326"	"Kimpel et al, 2007"	"kim2007"
4	"Ponomarev I, Wang S, Zhang L, Harris RA, Mayfield RD"	"Gene coexpression networks in human brain identify epigenetic modifications in alcohol dependence"	"The Journal of Neuroscience"	"1884-1897"	"2012-02-01"	"10.1523/JNEUROSCI.3136-11.2012"	"http://www.ncbi.nlm.nih.gov/pubmed/22302827"	"Ponomarev et al, 2012"	"pon2012"
6	"Osterndorff-Kahanek E, Ponomarev I, Blednov YA, Harris RA"	"Gene expression in brain and liver produced by three different regimens of alcohol consumption in mice: comparison with immune activation."	"PloS One"	"e59870"	"2013-03-29"	"10.1371/journal.pone.005987"	"https://www.ncbi.nlm.nih.gov/pubmed/23555817"	"Osterndorff-Kahanek et al., 2013"	"ost2013"
7	"Laura B. Ferguson, Lingling Zhang, Daniel Kircher, Shi Wang, R. Dayne Mayfield, John C. Crabbe, Richard A. Morrisett, R. Adron Harris, Igor Ponomarev"	"Comparison of alcohol-related gene networks in mice and humans points to neuronal plasticity in extended amygdala [submitted]"	"submitted"	"submitted"	"2017-01-01"	"submitted"	"submitted"	"Ferguson et al, 2017"	"fer2017"
